seed_group,seed,sys5_return,sys5_mdd,sys5_sharpe,sys5_calmar,ma_return,ma_mdd,ma_sharpe,ma_calmar,delta_calmar
Seed_10,10,0.01710074346489754,-0.2473913977313119,-0.17536579367077917,0.019833199526492776,-0.5916335686313592,-0.7698888985843142,-0.6008688818342346,-0.29589611894876405,0.3157293184752568
Seed_11,11,-0.02141363244363781,-0.22973923182895178,-0.3227759696138774,-0.027112982970219662,-0.8057550406509999,-0.8404565534777484,-1.0655633700083682,-0.4484169717456916,0.4213039887754719
Seed_12,12,0.0691824851008489,-0.2091776303304099,-0.0057088291117136335,0.09320948795869193,-0.5071431410274914,-0.7121913458808995,-0.47950711080599717,-0.2593841493763772,0.35259363733506915
Seed_13,13,-0.11984066817042549,-0.22536376886884357,-0.633621346612951,-0.16052920334466445,-0.7587691326233886,-0.8282258193113049,-0.9312089747704095,-0.40648884704470284,0.2459596437000384
Seed_14,14,0.11983078053488305,-0.13752625743672534,0.16332271639730442,0.24147633183651845,-0.8767243344259997,-0.9045686337774387,-1.1988465525445002,-0.5013680322904684,0.7428443641269868
Seed_15,15,-0.07793049545833464,-0.23641884275654018,-0.5496397382850841,-0.09791178589042576,-0.7190266973489534,-0.7840890555891412,-0.823956194904101,-0.39129589673748344,0.2933841108470577
Seed_16,16,-0.16605797880268414,-0.2760655107880718,-0.8339146098910332,-0.18498507160802655,-0.6159048851534283,-0.7009640148478886,-0.6415093973881774,-0.3443047553737796,0.15931968376575303
Seed_17,17,-0.05896357638863903,-0.2151479900738172,-0.43658007357024337,-0.08082746539421434,-0.8133804106502889,-0.8327980786474386,-0.9740670664059321,-0.46114052735935346,0.38031306196513914
Seed_18,18,0.120335121710345,-0.18596195949892774,0.16299011508793254,0.17930353390528836,-0.8262144964477244,-0.8483589839401201,-1.0677595943724139,-0.4674626703696362,0.6467662042749245
Seed_19,19,-0.13716399112055044,-0.2775774448954981,-0.7441549312986202,-0.15019990966577168,-0.5503275071562048,-0.7480751277559462,-0.5893538567757611,-0.2754109951990975,0.12521108553332583
Seed_20,20,0.06924067989529514,-0.19361556379888117,-0.00614999305655566,0.10078403300883185,-0.8526906520043656,-0.8926528156644181,-1.135435160834535,-0.4757622565699624,0.5765462895787943
Seed_21,21,-0.004225424700782687,-0.17580848736687293,-0.25782687860253445,-0.00694817254036819,-0.794271212075047,-0.838001823358268,-0.965992611411848,-0.43729892112568713,0.43035074858531897
Seed_22,22,-0.007455050683684461,-0.25247279877981155,-0.2775142507019061,-0.008546282346893629,-0.6871463070970709,-0.8130276928958043,-0.7329784645027247,-0.3505025275627255,0.34195624521583184
Seed_23,23,-0.07998256760031297,-0.2187035653157351,-0.52714093342469,-0.10871442402761154,-0.8817388041753337,-0.9059551639750673,-1.1590803126067504,-0.5077883427462049,0.3990739187185933
Seed_24,24,-0.0226589551393801,-0.19564662594766757,-0.3099601145150594,-0.033704306189001984,-0.7610605897321686,-0.8292374333069776,-0.9571631709453167,-0.4081938169846054,0.3744895107956034
Seed_25,25,-0.09208085034757119,-0.17696475126748984,-0.5883790498187343,-0.1553944260245643,-0.37361451242528476,-0.7190256026687644,-0.3685021680294546,-0.1756710950550196,0.020276669030455302
Seed_26,26,-0.07619541445295097,-0.16228701529841258,-0.5799658829755127,-0.13936999905183148,-0.6731463054948379,-0.7889495827108421,-0.7547210604716749,-0.34967420212277184,0.21030420307094036
Seed_27,27,-0.04642496570920762,-0.2052596731593254,-0.4323350234567083,-0.06639564991630122,-0.444124078724242,-0.5326128056755508,-0.43046944707427776,-0.29273910181806634,0.22634345190176514
Seed_28,28,0.0684150729452413,-0.10876817601097973,-0.008801951544155463,0.17731343555077522,-0.7458073873942219,-0.7783430217755987,-0.8639972347442938,-0.41956682379730464,0.5968802593480799
Seed_29,29,-0.13914773926572677,-0.2663068039857898,-0.7623905627709754,-0.15894680986308046,-0.4006352000672114,-0.5431903833108447,-0.41425934334403186,-0.2528807164864572,0.09393390662337675
Seed_30,30,-0.07817181224774195,-0.1712300172636702,-0.5263187706446676,-0.13561871557393898,-0.7843021468887899,-0.858228516946875,-0.9129316671920229,-0.4168401974652592,0.28122148189132024
