Date,"System 0-A
(纯规则 S4)","System 1
(纯ML)","System 4
(ML+ATR+BBL+TOCE)","System 5
(完整ARMS)","MA均线交叉
(5/20)",B&H
2019-11-07,1000805.8203330879,1067505.400982818,1024712.1779841132,1028007.7323692084,983834.177094447,1006567.0241675308
2019-11-08,994927.8596448965,1063939.425241806,1028585.9414191472,1031347.8424736909,974723.5191809236,1002643.9031605368
2019-11-11,970160.2419233024,1059165.885064184,1021573.2689051924,1025082.958649267,963458.437853819,983436.9991553051
2019-11-12,970864.5522721465,1058517.19183624,1030207.6576435652,1026070.1316662487,974489.8483425152,986791.0120749584
2019-11-13,989813.9353459451,1057736.3539867098,1046161.0886840923,1027515.5211550936,970613.5454031451,985893.1564221953
2019-11-14,1017146.1327141569,1063694.3316023035,1049510.6936485544,1027606.9617806125,977711.4505048695,990263.7869503819
2019-11-15,1009589.9008249609,1062606.0663383328,1042294.4442890618,1026871.6872663861,972437.0394572392,980653.0854313252
2019-11-18,1010877.5228646657,1061787.8440051647,1044503.1674902566,1028734.7734373481,979269.7263352397,990413.7105175416
2019-11-19,1023408.6383867203,1063587.4384098125,1057912.1589554213,1029074.1539373675,1009477.7716052278,1006320.6491684987
2019-11-20,1000443.5255510055,1062412.8178609116,1054924.2310552269,1020536.0472651822,989049.4681238678,998474.9202391892
2019-11-21,997415.2256808551,1059334.8694141402,1038172.1507167359,1018360.0265108966,969471.4397276317,995964.1230245464
2019-11-22,977015.9093922484,1045081.0240198463,1017043.7154338852,1015026.2178486343,938843.940828886,989501.6318755177
2019-11-25,927417.6024919779,1044229.887677322,1004145.4003965661,1009105.5970756483,916067.5194642805,991854.42507821
2019-11-26,951033.1221242865,1046630.2335276057,1003992.9555303715,1008770.341610933,929815.3852599425,992826.4162739003
2019-11-27,967032.1118025478,1046179.6996382335,1001557.5447431464,1004903.3075420252,955600.2874971278,993647.6863251384
2019-11-28,959391.7819582667,1043476.9187429618,1000073.846824389,999892.0421332642,947528.2287703265,990597.3021965007
